Age,SiteSpending,SiteTime,RecommendImpression,Education,WorkType,Sex,Region,Salary
59,1046.57,154.98,1,Other,Private sector,Male,South West,31437.6
35,2602.16,298.66,10,Masters,Unemployed,Female,South East,85023.31
23,265.03,190.57,8,Other,Unemployed,Female,London,32634.99
46,1840.17,281.67,11,Degree,Private sector,Female,West Midlands,95113.39
21,122.04,24.89,0,Masters,Private sector,Male,Northern Ireland,15084.76
44,2715.16,134.64,10,Degree,Private sector,Female,North East,71770.67
35,128.26,280.87,4,Other,Private sector,Male,Yorkshire and The Humber,47926.7
48,1107.36,67.72,2,Degree,Private sector,Female,North West,60902.61
44,3229.87,101.3,3,Masters,Private sector,Female,Scotland,84092.51
29,2624.14,27.66,0,Other,Public Sector,Female,North West,30405.92
68,2190.87,29.52,0,Degree,Public Sector,Female,West Midlands,29049.03
51,265.03,61.09,0,Masters,Private sector,Female,Scotland,29537.11
31,2846.66,119.3,5,None,Private sector,Female,West Midlands,42768.67
36,162.52,61.09,2,Degree,Private sector,Female,South East,49564.6
19,54.21,87.23,5,PhD,Private sector,Male,Northern Ireland,16992.19
30,70.96,45.56,2,A Level,Private sector,Female,Scotland,47308.49
68,2380.39,120.9,0,Other,Unemployed,Male,London,36523.02
57,267.61,187.41,7,Other,Unemployed,Male,North West,36334.66
32,2638.36,75.92,4,PhD,Unemployed,Female,West Midlands,64735.57
79,803.46,92.32,5,A Level,Private sector,Female,Scotland,21776.73
29,881.12,35.52,2,GCSE,Private sector,Female,North West,18707.26
50,1907.07,235.5,10,GCSE,Private sector,Male,North West,53187.77
35,362.04,296.58,9,A Level,Unemployed,Female,East of England,56272.05
37,61.61,168.19,4,GCSE,Private sector,Female,Scotland,36058.29
23,378.5,177.03,5,GCSE,Private sector,Female,Wales,16290.23
51,511.31,289.72,10,GCSE,Private sector,Male,Scotland,47212.31
30,1165.08,31.5,1,Degree,Public Sector,Male,South East,56672.98
35,2336.17,227.68,6,Degree,Unemployed,Female,North West,58508.35
36,1232.3,121.2,2,PhD,Private sector,Male,Scotland,60629.39
35,1905.71,16.73,1,Degree,Private sector,Female,London,62145.9
33,3206.75,162.64,5,A Level,Private sector,Male,Northern Ireland,59024.15
47,899.78,47.07,0,Degree,Unemployed,Male,Northern Ireland,59840.42
47,1447.7,180.2,12,Other,Public Sector,Male,North East,86935.89
25,375.31,270.22,4,Other,Private sector,Male,North West,18125.65
43,743.51,233.57,10,Masters,Private sector,Female,North East,68048.22
34,398.06,206.98,5,None,Public Sector,Female,South West,24511.74
61,287.3,177,4,Degree,Private sector,Female,London,24019.35
36,1047.68,77.77,0,A Level,Unemployed,Female,Scotland,39385.13
33,592.58,57.68,4,Degree,Unemployed,Female,Scotland,49830.94
55,336.42,196.61,5,PhD,Private sector,Male,West Midlands,36984.98
33,231.12,79.95,5,None,Private sector,Female,West Midlands,32660.3
30,1709.82,91.41,2,Degree,Private sector,Male,East of England,58430.82
50,40.43,47.71,2,Degree,Unemployed,Female,East Midlands,25293.07
63,780.73,218.66,11,GCSE,Private sector,Female,Wales,39295.8
58,255.84,64.4,0,PhD,Private sector,Male,West Midlands,36323.62
28,1015.08,19.55,3,Degree,Public Sector,Female,Wales,19613.03
34,292.48,36.29,2,Degree,Public Sector,Male,West Midlands,53071.48
40,1824.01,53.61,0,None,Private sector,Female,London,49846.6
19,58.99,18.98,2,Degree,Private sector,Male,Scotland,15666.99
37,696.34,253.76,11,PhD,Private sector,Female,South East,84038.28
62,242.62,78.53,2,PhD,Public Sector,Female,South West,20791.97
51,97,176.6,7,A Level,Unemployed,Male,South West,31257.68
39,694.15,203.34,9,Degree,Unemployed,Male,Scotland,70657.95
60,1797.89,105.12,1,Degree,Private sector,Male,Scotland,27940.88
43,1877.77,50.3,2,Degree,Private sector,Female,Scotland,64891.98
49,40.43,199.8,7,A Level,Private sector,Female,North West,53198.3
28,1338.73,54.49,0,Masters,Private sector,Male,London,27329.57
49,141.78,249.28,8,GCSE,Public Sector,Male,South East,61684.35
55,209.95,10.5,0,Other,Private sector,Male,North West,30191.74
50,552.73,189.77,11,Degree,Private sector,Male,Yorkshire and The Humber,54479.12
39,1219.02,64.54,1,Masters,Unemployed,Female,London,63331.12
41,2070.97,57.37,4,GCSE,Unemployed,Male,Scotland,64150.56
44,40.43,174.14,8,PhD,Private sector,Male,East Midlands,65309.92
60,42.88,12.14,0,Degree,Unemployed,Male,Yorkshire and The Humber,21992.23
35,1572.09,211.45,6,Other,Private sector,Female,South West,46764.46
29,605.44,18.41,2,Degree,Private sector,Female,London,21113.75
25,357.92,133.58,2,PhD,Private sector,Female,South West,17201.51
38,66.71,206.51,7,None,Private sector,Male,North West,39648.58
29,1242.41,139.3,1,Degree,Unemployed,Male,South East,23422.33
54,887.17,217.62,12,PhD,Private sector,Male,South East,83230.75
22,266.28,24.1,0,GCSE,Unemployed,Female,London,17351.38
42,2093.81,130.13,7,Degree,Private sector,Male,South East,81308.61
52,210.96,62,4,Degree,Private sector,Male,West Midlands,32857.49
43,165.35,119.87,0,PhD,Private sector,Female,West Midlands,58499.31
51,901.45,245.03,12,A Level,Private sector,Female,London,72168.69
26,96.19,91.25,0,Degree,Unemployed,Male,London,22037.87
47,1225.93,30.66,5,None,Private sector,Female,Yorkshire and The Humber,37445.07
24,1246.24,196.63,7,Degree,Private sector,Male,South West,27467.22
29,307.57,198.84,4,PhD,Unemployed,Male,Scotland,21239.5
45,440.49,87.88,1,Other,Private sector,Female,East Midlands,44760.06
56,925.97,145.91,7,PhD,Private sector,Female,West Midlands,38684.76
19,1700.31,202.01,16,Degree,Private sector,Male,South West,100507.34
28,1056.27,10.51,0,GCSE,Private sector,Male,Yorkshire and The Humber,19621.86
38,946.68,126.65,3,PhD,Private sector,Male,Wales,51528.6
24,196.86,11.92,0,Masters,Public Sector,Female,West Midlands,20934.9
27,369.42,129.95,2,PhD,Unemployed,Male,Wales,19680.54
40,1868.16,49.51,0,Degree,Private sector,Male,South East,79074.87
38,373.31,190.71,9,None,Private sector,Male,Scotland,46106.22
28,480.57,138.66,0,Other,Unemployed,Female,East Midlands,16337.8
56,1296.54,298.09,9,Other,Private sector,Male,East of England,49937.33
23,79.58,134.09,4,None,Private sector,Male,East Midlands,14768
25,124.65,283.69,9,PhD,Private sector,Female,North East,29201.29
52,3456.52,160.24,6,A Level,Private sector,Female,South East,55948.4
21,2558.88,183.08,6,Degree,Private sector,Female,Yorkshire and The Humber,26588.69
30,899.14,290.2,5,Degree,Private sector,Male,South West,49869.58
37,721.26,203.27,3,A Level,Unemployed,Male,Scotland,46657.89
30,64.68,49.68,4,GCSE,Unemployed,Male,East Midlands,38837.39
27,287.5,51.08,7,Degree,Public Sector,Male,North East,25312.2
32,124.65,253.5,6,None,Private sector,Male,Yorkshire and The Humber,32536
37,1061.61,97.25,3,None,Private sector,Female,East of England,36076.76
23,959.6,269.79,10,A Level,Public Sector,Male,Wales,35514.12
26,357.53,96.55,5,A Level,Unemployed,Female,North West,18351.05
35,1338.57,242.3,8,GCSE,Private sector,Male,South East,56243.73
23,510.89,144.83,2,PhD,Unemployed,Female,Scotland,19979.15
31,1299.8,233.65,8,Masters,Private sector,Female,South East,63006.8
28,144.6,123.08,6,Degree,Private sector,Male,London,27276.12
26,414.64,249.19,2,PhD,Unemployed,Male,Scotland,18950.08
55,40.43,294.07,4,Other,Private sector,Female,South West,25753.03
26,256.12,146.22,3,Other,Self Employed,Female,East of England,16392.48
26,377.84,198.2,6,A Level,Private sector,Male,North West,19877.32
35,115.55,34.62,0,Degree,Unemployed,Female,North West,47410.67
38,40.43,256.55,6,A Level,Public Sector,Male,West Midlands,46681.15
33,820.18,68.17,0,Other,Private sector,Male,South East,60148.12
26,1618.9,141.81,1,Degree,Private sector,Male,East of England,24159.58
28,739.42,144.71,2,Degree,Private sector,Female,London,21176.62
31,2193.56,20.03,2,Other,Private sector,Female,Scotland,65982.78
36,1849.94,83.42,5,GCSE,Public Sector,Male,London,59677.38
28,51.48,105.45,9,Degree,Unemployed,Female,Northern Ireland,32835.74
47,2657.71,300.87,13,Degree,Private sector,Female,Scotland,124105.29
54,319.9,249.46,10,PhD,Public Sector,Female,London,61612.13
27,282.14,32.43,3,Other,Private sector,Female,Scotland,21179.64
26,1525.96,135.62,5,Masters,Private sector,Male,North West,26395.93
35,616.31,80.43,4,Degree,Public Sector,Female,Scotland,48146.25
37,141.57,173.09,7,A Level,Private sector,Male,West Midlands,51125.29
26,1024.16,266.29,4,PhD,Private sector,Male,Northern Ireland,21354.99
41,40.43,10.58,2,Degree,Private sector,Male,East Midlands,53928.94
39,3486.89,115.83,1,GCSE,Private sector,Female,West Midlands,66610.35
41,40.43,252.66,7,Degree,Private sector,Male,East Midlands,57340.16
41,131.88,48.09,2,Degree,Unemployed,Male,South East,66095.66
63,1139.52,148.94,0,Degree,Private sector,Male,North West,23147.23
37,993.17,33.82,0,PhD,Private sector,Female,East Midlands,49763
26,368.02,141.7,4,Degree,Unemployed,Female,North West,17935.79
53,261.84,131.36,4,None,Private sector,Female,North West,16548.39
50,1226.48,180.13,7,None,Unemployed,Female,West Midlands,28963.47
38,40.43,248.51,4,Other,Private sector,Female,East of England,42087.38
34,446.13,133.11,0,Degree,Private sector,Female,Wales,40780.79
28,3867.8,222.2,3,GCSE,Private sector,Female,Yorkshire and The Humber,39010.2
40,2391.73,255.09,10,Masters,Public Sector,Male,West Midlands,98331.02
23,1527,236.13,7,Masters,Private sector,Male,Scotland,30835.09
47,161.16,129.81,3,Degree,Private sector,Male,South West,60639.5
42,1750.27,113.35,7,Masters,Private sector,Female,South East,77385.3
20,842.58,111.77,0,Other,Unemployed,Female,South East,14218.43
33,265.03,198.98,0,GCSE,Self Employed,Male,West Midlands,34501.91
37,3246.9,184.46,6,Degree,Private sector,Female,South West,67239.14
23,145.67,17.81,3,Degree,Private sector,Male,East of England,21097.9
37,40.43,166.1,2,Degree,Private sector,Female,London,58771.46
69,466.72,286.25,7,PhD,Unemployed,Female,East of England,26139.61
34,367.31,94.5,6,Degree,Unemployed,Female,North West,47812.81
43,2792.12,267.73,12,Degree,Private sector,Female,Scotland,115590.88
59,903.73,180.28,3,GCSE,Private sector,Female,North West,22259.89
39,109.46,120.07,3,PhD,Unemployed,Female,East of England,48450.7
27,1239.5,212.03,6,PhD,Private sector,Male,Wales,24565.33
59,57.87,45.63,5,Other,Private sector,Female,Scotland,37042.25
50,305.67,186.92,8,Degree,Private sector,Male,North West,41808.41
56,2316.27,290.74,11,A Level,Private sector,Male,South West,61094.32
33,208.21,248.04,11,None,Private sector,Male,Scotland,64851.85
29,2489.46,216.7,0,Other,Unemployed,Female,Scotland,29554.01
59,275.61,5.11,3,Masters,Private sector,Male,South West,31567.5
26,389.39,260.62,3,Degree,Private sector,Female,Yorkshire and The Humber,14408.87
82,159.76,118.32,7,A Level,Unemployed,Female,East of England,26733.61
64,961.06,287.87,4,Other,Public Sector,Female,North West,18886.75
52,68.9,11.07,2,Degree,Private sector,Female,East of England,30759.82
27,124.65,275.69,10,Degree,Private sector,Female,West Midlands,36091.22
38,290.06,165.26,3,GCSE,Public Sector,Female,Scotland,39655.39
35,105.05,143.19,2,Other,Private sector,Female,Scotland,48091.41
28,3435.39,81.11,1,Degree,Private sector,Male,South East,46611.54
24,292.14,255.11,4,Degree,Unemployed,Female,London,17821.97
27,331.42,51.56,1,Degree,Unemployed,Female,Scotland,19003.11
30,712.27,7.21,0,Other,Unemployed,Female,Scotland,50025.48
71,113.95,13.61,0,Other,Private sector,Female,Yorkshire and The Humber,21462.14
34,103.11,9.55,0,A Level,Public Sector,Female,South East,48196.3
37,1101.68,215.81,9,A Level,Public Sector,Male,Scotland,65353.11
26,1570.21,21.53,0,Degree,Private sector,Female,Scotland,24074.47
64,1110.29,230.7,6,Degree,Unemployed,Female,South East,28169.95
26,3497.83,48.87,4,Degree,Private sector,Male,West Midlands,44668.46
42,273.42,88.17,0,Masters,Private sector,Male,West Midlands,64119.35
21,304.06,108.23,5,Degree,Unemployed,Female,Yorkshire and The Humber,15365.84
22,187.67,25.31,0,GCSE,Unemployed,Female,North West,15878.63
65,423.06,156.02,0,PhD,Public Sector,Female,West Midlands,22738.91
49,190.96,138.42,3,None,Private sector,Female,South East,38818.24
36,1682.98,281.4,7,Masters,Private sector,Male,South East,70852.95
48,40.43,146.7,6,Masters,Private sector,Female,North West,66981.42
69,1603.39,151.8,7,Other,Unemployed,Male,London,38669.58
48,110.33,173.05,3,A Level,Public Sector,Female,North West,41840.97
22,1783.12,291.58,9,Masters,Private sector,Female,North East,31835.56
19,352.26,109.4,9,Degree,Unemployed,Male,Northern Ireland,28626.63
51,652.13,227.28,4,PhD,Private sector,Male,London,42464.76
74,231.44,137.05,2,Degree,Private sector,Female,East of England,19188.17
48,1077.58,83.43,5,Degree,Private sector,Male,North West,61788.52
31,40.43,144.69,6,Other,Private sector,Female,South East,55834.98
67,440.49,66.88,5,Degree,Private sector,Female,Northern Ireland,21695.99
49,961.78,225.85,3,Degree,Unemployed,Male,Scotland,64940.18
36,2336.9,262.57,10,Other,Public Sector,Female,Northern Ireland,72725.05
47,169.26,192.45,4,Masters,Unemployed,Female,East Midlands,44317.49
54,582.76,155.03,8,A Level,Unemployed,Male,East of England,38664.5
57,314.62,155.02,2,Other,Private sector,Female,East of England,30797.83
43,2350.86,188.29,3,A Level,Unemployed,Female,South West,59880.89
24,631.71,142.44,5,Degree,Private sector,Female,London,24047.35
24,350.61,159.92,2,Degree,Public Sector,Male,East of England,19434.74
46,120.28,5.42,0,A Level,Private sector,Female,South East,53519.54
44,324.74,286.35,13,Degree,Unemployed,Female,Yorkshire and The Humber,88167.45
27,1228.68,243.29,3,Masters,Unemployed,Male,East Midlands,19448.3
20,234.55,267.19,10,Other,Private sector,Female,London,36503.27
22,471.12,288.8,4,Other,Public Sector,Female,West Midlands,15110.24
47,434.7,176.07,1,None,Unemployed,Male,North West,38251.13
34,1077.36,108.37,3,Degree,Unemployed,Female,West Midlands,45671.53
43,4162.55,24.3,0,Degree,Self Employed,Male,West Midlands,98057.6
48,47.77,211.58,11,GCSE,Public Sector,Female,Scotland,78225.82
21,2045.51,252.87,6,Masters,Private sector,Female,South East,25719.82
23,1019.37,124.04,3,None,Private sector,Female,East of England,14737.02
58,760.2,185.14,7,PhD,Private sector,Male,North West,41858.15
56,353.83,271.98,6,A Level,Public Sector,Female,South East,26822.06
72,1573.58,66.46,1,PhD,Unemployed,Male,East Midlands,26016.65
40,295.49,282.33,10,Degree,Private sector,Male,South East,91388.37
48,470.26,114.55,1,PhD,Private sector,Female,East of England,62002.54
51,2043.47,67.09,0,Masters,Unemployed,Male,Scotland,43834.47
54,244.91,43.49,0,A Level,Private sector,Female,South East,30457.49
40,1486.87,174.79,4,A Level,Unemployed,Female,South West,43314.28
71,829.93,14.65,4,A Level,Private sector,Female,South East,22242.72
19,3675.67,11.66,2,Masters,Private sector,Male,East of England,42419.34
24,2556.9,44.75,0,Degree,Private sector,Male,Northern Ireland,31609.58
71,1195.32,33.9,0,Degree,Private sector,Female,Northern Ireland,23718.19
25,157.05,185.46,7,Other,Self Employed,Female,East Midlands,22651.09
58,104.34,47.33,0,A Level,Private sector,Male,South East,31410.7
43,201.76,197.45,7,Other,Private sector,Female,Scotland,68501.85
47,2599.7,264.21,10,GCSE,Public Sector,Male,North West,77441.18
25,219.17,99.67,7,Masters,Private sector,Male,Yorkshire and The Humber,25535.26
49,312.99,119.36,3,A Level,Private sector,Female,West Midlands,54717.22
68,1248.06,198.83,8,Degree,Unemployed,Female,North East,27495.95
27,2609.21,96.53,2,Masters,Private sector,Female,Wales,28420.65
41,357.19,5.47,0,Masters,Private sector,Male,North West,62081.24
22,282.34,38.16,0,Degree,Private sector,Male,South West,20282.39
36,2545.77,108.25,3,PhD,Unemployed,Male,West Midlands,70792.58
49,178.56,263.36,11,Degree,Private sector,Female,Scotland,80447.16
39,270.77,53.72,2,Degree,Public Sector,Male,Scotland,52814.89
38,3729.07,273.98,9,Other,Private sector,Female,Scotland,94319.03
37,498.34,299.66,7,Degree,Private sector,Female,East Midlands,42472.54
42,1582.58,259.77,10,Other,Private sector,Female,London,88743.42
38,1339.05,284.62,13,A Level,Private sector,Male,London,112510.12
51,1151.88,293.94,8,Masters,Private sector,Female,South East,40722.77
44,118.13,256.03,9,Other,Private sector,Male,East of England,79266.02
46,322.62,88.78,3,PhD,Unemployed,Male,Yorkshire and The Humber,64816.66
28,1528.52,210.09,13,PhD,Private sector,Female,Scotland,75859.03
27,182.2,197.52,7,GCSE,Private sector,Female,West Midlands,19707.02
27,373.78,275.31,9,A Level,Private sector,Male,South East,32823.98
35,361.95,149.44,4,Degree,Unemployed,Female,Wales,39737.12
55,256.21,224.21,7,Degree,Private sector,Male,East Midlands,33921.15
35,1642.34,209.3,8,PhD,Private sector,Male,Scotland,74617.9
45,440.49,36.31,5,Degree,Private sector,Male,Scotland,65080.21
42,300.22,131.74,4,PhD,Private sector,Male,East of England,74041.06
34,1281.5,221.31,3,PhD,Public Sector,Female,Yorkshire and The Humber,46565.96
25,339.05,178.97,8,Other,Public Sector,Male,South East,32128.14
36,1477.84,85.9,0,Masters,Unemployed,Female,East of England,56554.86
42,705.26,10.25,0,PhD,Private sector,Female,Northern Ireland,56313.96
44,176.31,233.88,5,Other,Unemployed,Female,Scotland,63752.16
28,270.52,76.38,0,PhD,Private sector,Male,South West,20912.49
54,473.49,110.81,5,PhD,Public Sector,Male,London,46187.85
63,193.44,122.59,1,PhD,Unemployed,Male,Scotland,24221.35
50,386.06,26.3,3,None,Private sector,Female,London,22895.01
29,1424.64,111.74,6,PhD,Private sector,Male,Northern Ireland,27871.13
25,2514.73,202.27,13,Degree,Unemployed,Female,Scotland,81913.98
37,745.17,211.56,3,PhD,Private sector,Male,South East,63586.62
45,283.42,180.74,2,Other,Private sector,Male,South West,58593.32
39,234.15,270.05,9,PhD,Private sector,Female,South West,57497.94
30,157.96,226.5,7,A Level,Private sector,Male,East Midlands,46075.42
27,299.38,284.83,10,Degree,Unemployed,Male,Scotland,39852.77
37,440.49,167.58,5,PhD,Private sector,Female,South East,60342.84
51,273.1,170.16,0,PhD,Private sector,Male,West Midlands,34239.4
33,1498.25,35.61,2,PhD,Private sector,Female,London,66851.04
46,3644.31,12.23,1,PhD,Unemployed,Male,Yorkshire and The Humber,87998.23
37,1222.81,21.05,0,Degree,Unemployed,Female,North West,46723.07
38,1994.47,238.44,4,Masters,Private sector,Female,London,63451.45
59,907.25,214.79,4,Masters,Unemployed,Female,Scotland,29125.13
45,514.78,29.61,0,Other,Private sector,Female,South East,60791.22
38,143.78,235.74,3,Masters,Private sector,Male,East of England,55222.26
37,633.91,208.94,5,PhD,Unemployed,Female,South East,53926.53
23,323.6,105.99,9,Degree,Private sector,Female,South East,37345.14
34,613.97,104.48,0,A Level,Private sector,Male,South East,51029.58
48,398.95,69.49,2,Degree,Private sector,Female,Yorkshire and The Humber,51200.52
42,235.29,158.05,5,Degree,Unemployed,Male,London,73280.28
41,705.69,79.93,3,A Level,Public Sector,Male,North West,53313.59
40,43.32,265.57,11,Degree,Private sector,Female,London,103843.78
38,105.35,127.8,0,Masters,Private sector,Female,Yorkshire and The Humber,40923.45
23,484.1,142.75,7,PhD,Private sector,Female,Scotland,28460.88
47,259.3,227.63,6,PhD,Unemployed,Female,East of England,64532.51
44,396.2,151.05,4,PhD,Private sector,Female,Northern Ireland,62904.39
44,60.5,297.78,11,Other,Unemployed,Female,East of England,79996.15
36,1687.77,241.85,10,GCSE,Private sector,Female,Yorkshire and The Humber,59554.22
34,265.03,261.58,8,Masters,Private sector,Male,North West,57908.25
53,233.58,282.52,4,PhD,Unemployed,Male,Scotland,34059.16
45,134.85,89.53,3,Masters,Public Sector,Female,East of England,64526.84
28,1184.85,81.2,4,Degree,Private sector,Male,North West,23929.48
29,392.02,71.55,1,Masters,Private sector,Male,London,24507.72
28,1239.35,237.31,6,Degree,Private sector,Male,East of England,24149.85
48,359.35,9.14,0,A Level,Private sector,Female,Yorkshire and The Humber,39402.23
64,65.22,126.31,1,Degree,Public Sector,Female,London,22693.52
68,396.34,299.06,8,PhD,Unemployed,Male,Wales,28731.92
36,1075.76,28.59,3,Other,Public Sector,Male,Yorkshire and The Humber,51015.12
25,2496.64,299.09,3,Degree,Unemployed,Male,South East,30626.88
56,341.21,174.49,1,Other,Public Sector,Female,Yorkshire and The Humber,24911.76
37,342.48,246.45,7,Other,Private sector,Male,London,65697.55
49,1037.22,282.55,6,Degree,Private sector,Female,London,73054.75
44,2585.57,80.93,4,Degree,Unemployed,Female,North East,56776.13
27,990.67,93.13,6,Degree,Private sector,Female,London,28397.44
32,1956.62,67.41,0,Degree,Unemployed,Female,Yorkshire and The Humber,52444.94
27,1299.2,300.5,14,Degree,Unemployed,Male,Northern Ireland,76068.55
52,141.47,290.55,5,GCSE,Private sector,Male,Scotland,26001.26
40,1244.03,186.88,8,GCSE,Unemployed,Male,Northern Ireland,58267.99
31,817.48,183.18,5,GCSE,Public Sector,Female,East of England,34985.76
26,531.66,73.45,6,PhD,Private sector,Female,East Midlands,23672.48
55,719.03,256.11,8,A Level,Private sector,Female,Wales,29476.74
26,3968.23,246.88,9,PhD,Public Sector,Female,Scotland,65363.02
42,1224.23,170.53,7,Degree,Private sector,Female,East Midlands,60526.39
56,142.74,129.12,4,Other,Private sector,Male,Scotland,36577.64
20,657.74,168.76,1,Degree,Unemployed,Female,West Midlands,12486.54
34,4073.04,37,6,A Level,Private sector,Female,London,92307.82
19,2425.31,134.51,2,PhD,Private sector,Male,Yorkshire and The Humber,23459.12
21,634.78,6.45,3,Degree,Private sector,Female,Northern Ireland,15090.31
22,627.51,192.33,4,Masters,Self Employed,Male,South East,20325.52
42,1444.35,253.32,6,GCSE,Private sector,Female,Wales,43584.48
62,1503,68.38,5,Other,Self Employed,Female,North East,25001.48
39,110.1,11.77,0,Degree,Private sector,Male,East of England,52078
52,156.22,90.65,5,PhD,Public Sector,Male,East Midlands,33159.78
28,404.18,205.22,8,PhD,Unemployed,Male,South East,33298.8
50,123.3,115.46,1,Degree,Private sector,Female,South East,30713.16
58,112.34,204.74,4,PhD,Unemployed,Female,Yorkshire and The Humber,28650.13
57,297.46,212.3,14,A Level,Private sector,Female,East of England,84759.91
36,1743.91,62.02,7,Degree,Unemployed,Male,South East,71162.26
47,632.26,204.01,10,PhD,Unemployed,Male,Yorkshire and The Humber,82118.6
38,2062.1,74.6,4,Degree,Unemployed,Female,Scotland,55353.13
56,440.49,150.71,0,GCSE,Unemployed,Female,London,22013.54
47,440.49,92.09,0,A Level,Private sector,Female,Scotland,59407.84
46,172.89,300.59,7,Masters,Public Sector,Female,East Midlands,50865.52
44,274.59,245.54,6,Other,Public Sector,Female,Yorkshire and The Humber,48036.59
33,2983,259.73,9,None,Private sector,Male,Northern Ireland,58804.46
38,44.68,21.02,0,Degree,Unemployed,Female,Yorkshire and The Humber,42612.02
42,330.85,153.2,1,A Level,Public Sector,Male,West Midlands,49402.82
30,2878.65,112.48,9,A Level,Private sector,Female,Scotland,70337.53
38,2199.45,239.32,10,A Level,Private sector,Male,North West,70774.35
49,214.07,117.42,4,Degree,Private sector,Female,East Midlands,47560.43
36,197.98,9.21,6,PhD,Private sector,Female,East of England,56245.5
72,97.65,241.42,7,GCSE,Unemployed,Male,East of England,23827.96
68,92.16,156.98,6,Degree,Private sector,Male,Yorkshire and The Humber,23759.23
52,3120.14,36.77,5,PhD,Private sector,Male,West Midlands,56080.91
28,162.21,80.2,8,Other,Unemployed,Male,Scotland,33313.88
23,273.1,7.62,0,Other,Private sector,Female,Yorkshire and The Humber,19075.61
41,2111.18,280.76,14,Degree,Private sector,Female,Scotland,132841.99
22,90.82,107.09,3,Masters,Private sector,Female,Northern Ireland,17935.25
34,329.49,216.08,8,PhD,Private sector,Male,East Midlands,59274.47
29,727.98,179.96,8,Masters,Private sector,Male,South West,29871.5
43,2740.47,146.03,7,PhD,Private sector,Male,North West,85821.14
40,269.92,53.07,0,Other,Private sector,Male,South West,56336.05
59,157.93,284.15,9,Degree,Private sector,Female,West Midlands,38888.26
41,1182.65,105.12,0,GCSE,Private sector,Female,East of England,42558.99
56,3061.2,274.96,5,None,Private sector,Male,South West,37596.31
57,404.01,79.32,2,Degree,Public Sector,Male,South East,37307.95
27,65.23,92.96,3,GCSE,Private sector,Female,South East,16094.59
72,1190.69,275.86,9,Other,Unemployed,Male,East of England,37149.76
59,1781.2,27.24,1,Masters,Private sector,Female,London,49649.37
44,40.43,272.69,15,Degree,Private sector,Female,North East,103450.59
41,128.75,81.13,1,Other,Public Sector,Male,Scotland,68425.62
50,4392.22,115.91,1,Degree,Private sector,Female,London,76759.32
58,1798.64,169.32,1,A Level,Unemployed,Female,South West,27072.61
40,175.79,34.51,0,Masters,Private sector,Female,Northern Ireland,59311
57,40.43,11.14,4,Masters,Private sector,Female,Scotland,33991.8
53,120.96,263.78,10,Other,Private sector,Male,South East,54903.6
45,554.44,14.3,5,A Level,Unemployed,Male,Scotland,62275.33
64,333.14,163.45,3,Other,Unemployed,Female,South East,19732.38
42,564.31,6.19,0,Degree,Private sector,Female,West Midlands,53470.89
39,347.82,285.77,8,A Level,Private sector,Female,South West,43821.57
30,246.82,13.4,0,None,Private sector,Female,North West,32477.99
28,390.05,195.42,6,None,Private sector,Female,East of England,18489.52
36,40.43,113.36,4,Degree,Unemployed,Male,West Midlands,52772.74
37,158.02,87.32,6,A Level,Unemployed,Female,East Midlands,41381.66
33,440.49,212.42,13,Other,Private sector,Female,London,115369.77
28,40.43,288.39,9,A Level,Unemployed,Male,East Midlands,27207.64
49,265.03,80.79,2,PhD,Private sector,Male,Northern Ireland,71333.57
46,179.54,244.06,9,GCSE,Unemployed,Female,West Midlands,51541.95
60,181.83,93.56,5,PhD,Private sector,Female,Wales,21118.81
65,1200.2,195.56,5,PhD,Private sector,Female,Yorkshire and The Humber,24542.07
56,525.02,83.34,0,Masters,Private sector,Male,East Midlands,28227.17
35,324.68,92.88,11,Degree,Private sector,Female,South East,78954.37
30,1866.45,27.03,2,PhD,Private sector,Male,South East,69648.02
51,2374.17,82.11,0,GCSE,Private sector,Female,Northern Ireland,31289.95
28,381.16,96.44,6,Masters,Private sector,Female,London,29427.38
57,1910.95,178.69,10,Masters,Private sector,Male,Scotland,65735.6
38,4251.65,7.05,4,None,Private sector,Male,Scotland,76063.89
37,1704.69,165.84,0,Degree,Private sector,Male,South East,64721.43
29,266.71,147.4,1,Other,Unemployed,Male,North East,17233.34
40,382.68,7.44,0,A Level,Unemployed,Female,East of England,48995.56
60,304.09,154.21,6,PhD,Private sector,Female,London,26749.02
45,124.65,9.64,5,A Level,Public Sector,Male,Yorkshire and The Humber,53272.47
41,3044.22,225.22,7,Other,Unemployed,Female,Scotland,85515.43
48,440.49,187.02,2,Degree,Private sector,Female,South West,56457.11
27,1461.98,276.97,12,PhD,Unemployed,Male,South East,66881.17
57,41.85,43.69,3,Masters,Private sector,Female,East of England,30529.29
38,1859.63,160.02,0,GCSE,Self Employed,Female,South East,58524.18
34,966.91,268.71,2,GCSE,Unemployed,Female,South East,34706.04
56,1152.91,91.29,8,GCSE,Public Sector,Female,South East,38910.94
43,232.65,143.49,6,Degree,Unemployed,Female,West Midlands,57465.63
21,792.95,206.57,6,Degree,Private sector,Female,Yorkshire and The Humber,16273.25
33,1200.07,164.18,8,Degree,Unemployed,Female,North West,58345.03
37,155.04,82.87,7,Other,Unemployed,Female,London,70899.98
37,308.97,28.41,5,PhD,Private sector,Male,South East,66691.11
45,297.13,119.61,8,Degree,Private sector,Male,South West,67149.11
31,88.26,217.32,2,None,Unemployed,Male,North West,29669.84
